bblid,scanid,meanDV,relMeanRMSMotion,relMaxRMSMotion,motionDVCorrInit,coregCrossCorr,coregJaccard,coregDice,coregCoverage,negativeVoxelsTS,negativeVoxels,normJaccard,normDice,normCrossCorr,normCoverage
104235,20170623x10585,0.9421293,0.0863811,1.0799,0.2044563,0.6382891,0.5407026,0.701891,0.98393,9458,27,0.5570521,0.7155214,0.6703205,0.9867391
104785,20180429x10779,0.8434905,0.0788466,0.129404,0.2082119,0.6948471,0.6057012,0.7544382,0.9515671,10855,23,0.6128797,0.7599819,0.7125077,0.9434897
105168,20180417x10761,0.8914738,0.0731061,0.344733,0.1504764,0.6544185,0.5596462,0.7176579,0.9825092,14956,66,0.5682922,0.7247274,0.6807435,0.9873772
105176,20170510x10571,0.8666281,0.0519136,0.251066,0.1515159,0.6393833,0.5407536,0.7019339,0.9863423,9364,78,0.5376438,0.6993087,0.6529605,0.9901952
105309,20180425x10776,0.9696172,0.105267,0.52149,0.374512,0.6065169,0.4929942,0.66041,0.9943456,13742,109,0.5018344,0.6682953,0.6196807,0.9963844
105860,20171122x10641,0.8754467,0.0571691,0.187132,0.1194609,0.6346043,0.5414883,0.7025526,0.9705052,6378,20,0.5502116,0.7098535,0.6605473,0.9705645
105979,20160210x10067,9.61919,0.102311,0.785508,0.9539963,0.6936343,0.5736697,0.7290853,0.9938606,0.6060749,0.7547281,0.7161632,0.9969692
106039,20171027x10626,0.8767677,0.116437,0.254587,0.1560399,0.6839298,0.5913726,0.7432233,0.9837353,11587,88,0.6051142,0.7539827,0.714034,0.9904983
106331,20170708x10587,0.9892453,0.116839,0.324228,0.3803398,0.6268486,0.5504508,0.7100526,0.9552357,17801,77,0.5611461,0.7188899,0.6674716,0.9538368
106880,20160819x10302,0.9237964,0.0811316,0.317861,0.0117918,0.58051,0.4893989,0.6571764,0.9657206,15594,157,0.5045596,0.6707074,0.6163166,0.9705326
109521,20180122x10682,0.8606379,0.0866979,0.473003,0.1720512,0.6345096,0.5051805,0.6712557,0.9979421,5045,14,0.5059799,0.671961,0.6245472,0.999447
109646,20170920x10608,0.9882173,0.065143,0.299886,0.120054,0.6311353,0.5589845,0.7171136,0.9616798,31283,386,0.5754611,0.7305304,0.6836669,0.9697244
110828,20160507x10134,4.108335,0.123042,0.6789,0.5218309,0.6674096,0.5465648,0.7068114,0.9975702,15990,69,0.5725814,0.7282057,0.687038,0.9986229
112061,20160129x10056,4.752199,0.0741469,0.591248,0.8858426,0.7138633,0.6087566,0.7568038,0.9911344,19302,39,0.6456705,0.7846899,0.7491023,0.994635
112126,20151120x9968,5.126426,0.163302,0.983868,0.7577615,0.6607801,0.5389127,0.7003811,0.995662,25198,71,0.5605626,0.7184109,0.6758119,0.9970915
112332,20171121x10640,1.038957,0.0942609,0.569777,0.1792856,0.6977136,0.5917003,0.7434821,0.9816078,30858,209,0.6153161,0.7618522,0.7222944,0.9877866
112694,20171110x10632,0.9369487,0.112277,0.566629,0.4506458,0.6161864,0.504806,0.670925,0.9915612,10279,44,0.5041297,0.6703274,0.6216362,0.9950498
114713,20160329x10107,4.507916,0.0848181,0.521061,0.6583743,0.762233,0.6823099,0.8111584,0.9766598,13115,21,0.715124,0.8339036,0.8018977,0.9771471
114990,20160314x10096,5.150503,0.0995013,0.683134,0.3108224,0.7123104,0.6329476,0.7752209,0.9528766,19279,15,0.6618035,0.7964883,0.7565817,0.9589838
116019,20160220x10078,5.000558,0.105706,0.856161,0.8457001,0.7224322,0.6299238,0.7729488,0.9789927,15955,13,0.6700618,0.8024395,0.7667279,0.9811827
116354,20171204x10643,0.9365098,0.440448,3.35749,0.1737973,0.666558,0.5592104,0.7172994,0.9875722,7842,12,0.5932836,0.7447307,0.7034765,0.9893286
117397,20170608x10582,1.028687,0.264111,2.23681,0.6649715,0.5777758,0.4655444,0.6353194,0.989065,24078,98,0.4904236,0.6580996,0.6072494,0.9925241
118864,20160423x10127,3.748449,0.09976,0.681449,0.7855918,0.7355593,0.6476303,0.7861355,0.9940284,6828,7,0.6753299,0.8062053,0.7733815,0.995741
118990,20160521x10156,4.544183,0.103212,0.562831,0.7845515,0.6735714,0.5676565,0.7242103,0.9856304,21869,75,0.5944646,0.7456605,0.7047272,0.9903813
119791,20160225x10082,4.280685,0.176214,0.406936,0.2999835,0.6861609,0.5934387,0.7448529,0.9836438,25366,43,0.6147638,0.7614288,0.7217588,0.9874622
120562,20171214x10666,0.9285936,0.120072,0.740888,0.323902,0.6395549,0.559003,0.7171288,0.974192,0.5693519,0.7255886,0.6798775,0.9785774
121001,20170221x10494,0.9396275,0.0767762,0.40967,0.1839514,0.6445355,0.542681,0.7035557,0.9897684,13105,25,0.546705,0.7069286,0.6619228,0.9921892
121085,20151219x10015,4.87753,0.0760155,0.490481,0.6707234,0.7598961,0.672813,0.8044091,0.984093,14066,11,0.6985124,0.822499,0.7901312,0.9856917
121670,20160521x10158,5.038211,0.0660845,0.56775,0.8917563,0.5994909,0.4785972,0.6473666,0.9943426,12260,40,0.5466544,0.7068863,0.6629585,0.9969746
122522,20170412x10540,0.9230361,0.245851,0.669169,0.4397401,0.67318,0.5829984,0.7365748,0.9759875,14980,72,0.5916505,0.7434428,0.7010402,0.9843624
122528,20180212x10697,0.9562687,0.112956,0.454966,0.3630924,0.6146832,0.5098003,0.6753215,0.9879614,17083,179,0.5176757,0.6821954,0.6336989,0.9897858
122916,20160409x10114,4.455826,0.127189,0.846828,0.646908,0.6846279,0.5912175,0.7431008,0.9846787,20482,46,0.618874,0.7645734,0.7252826,0.9874995
125511,20170428x10565,0.8725284,0.100128,1.02442,0.1791746,0.697234,0.5980901,0.7485061,0.9694215,6922,71,0.6056989,0.7544365,0.7112888,0.9734782
125535,20160514x10150,5.345634,0.0800211,0.436674,0.7684012,0.7148684,0.6042553,0.7533157,0.9954854,19396,28,0.6527124,0.7898681,0.7554099,0.9974903
125554,20160130x10058,4.674948,0.104109,0.662525,0.8061043,0.720643,0.6203238,0.7656788,0.9824769,18035,24,0.6635467,0.7977494,0.7621158,0.9853248
126176,20171024x10625,0.8718693,0.0669977,0.16208,0.4048095,0.7056961,0.5862823,0.7391904,0.9983015,6634,25,0.5879138,0.7404858,0.7007868,0.9991333
126554,20170604x10580,0.9817213,0.124815,0.365345,0.189726,0.6317146,0.5584185,0.7166477,0.9632211,18861,59,0.5661903,0.723016,0.6751014,0.9692086
126903,20160409x10112,4.625008,0.0943831,0.711717,0.7856571,0.7200605,0.6223157,0.7671943,0.9885209,16474,20,0.6616061,0.7963453,0.7616319,0.9917372
127305,20160518x10152,5.484859,0.158776,0.961987,0.256865,0.7032771,0.579439,0.7337276,0.9967945,16420,3,0.607459,0.7558003,0.7177655,0.9989844
127417,20170523x10576,0.9686128,0.154927,0.999327,0.2128601,0.6595975,0.5725827,0.7282068,0.9804123,19981,77,0.5734988,0.7289472,0.6844381,0.9824695
127611,20170107x10445,0.9345206,0.261998,1.22021,0.1241085,0.6592569,0.5740325,0.7293782,0.9743639,11683,11,0.5839764,0.7373549,0.6921202,0.9737122
128154,20170518x10572,0.9286161,0.307894,4.05236,0.7658617,0.6595819,0.5475095,0.7076008,0.9936884,10634,11,0.5629992,0.7204088,0.6778249,0.9961451
129405,20160507x10136,4.350113,0.14808,0.556634,0.2813682,0.6953024,0.6052494,0.7540877,0.9820225,15602,30,0.6122365,0.7594872,0.7185852,0.9821983
129886,20180507x10787,0.8575715,0.0614404,0.201387,0.1956666,0.697032,0.5926635,0.7442419,0.9925758,6921,49,0.5936751,0.745039,0.7047258,0.993763
129926,20160409x10111,4.226236,0.163404,1.2933,0.8231737,0.731277,0.6386601,0.7794906,0.9888798,13328,20,0.6031267,0.752438,0.7124453,0.9911736
130121,20180507x10786,0.9320701,0.182379,2.32325,0.2700028,0.354031,0.3186454,0.483292,0.9727845,7178,74,0.3101412,0.473447,0.3781341,0.9779659
130211,20160325x10106,4.403522,0.0789554,0.361083,0.6885041,0.6943191,0.6202552,0.7656266,0.9663713,13853,36,0.644076,0.7835112,0.7432998,0.9687407
130687,20161108x10385,0.8827101,0.0666167,0.160847,0.3986177,0.5955497,0.5018644,0.6683218,0.9888945,10504,104,0.5100256,0.6755191,0.6268041,0.9923115
131224,20161222x10434,0.8662206,0.0643089,0.231618,0.2340727,0.6877986,0.582527,0.7361985,0.9937314,11510,26,0.5954643,0.7464464,0.7069502,0.996948
132179,20180429x10780,0.9495022,0.111347,0.312836,0.1033295,0.6000151,0.4834837,0.6518221,0.9905848,14011,157,0.4769011,0.6458131,0.593663,0.9937577
132657,20171011x10616,0.8815069,0.085762,0.184855,0.4449055,0.6179643,0.5296833,0.6925398,0.9758206,9581,59,0.5392586,0.7006732,0.6514077,0.9762378
133220,20180514x10792,1.168902,0.170042,0.419126,0.435748,0.3769359,0.3659394,0.5358062,0.9741515,107835,4758,0.3250374,0.4906087,0.401463,0.977817
139272,20160407x10109,4.552711,0.117338,0.796793,0.8885484,0.6604615,0.5510998,0.7105923,0.9940095,14544,71,0.5714904,0.7273228,0.685557,0.9963312
81725,20161004x10356,0.8979979,0.101831,0.177,0.4795117,0.6106634,0.4918606,0.6593922,0.9910938,7514,116,0.513939,0.6789428,0.630849,0.9931622
81760,20160428x10132,4.504143,0.124166,1.98462,0.9565667,0.6369025,0.5497376,0.7094589,0.9510503,10459,21,0.5923231,0.7439735,0.6964497,0.9567081
82492,20160127x10046,5.493359,0.0720334,0.977313,0.9739636,0.7449166,0.6557899,0.7921173,0.9633803,20234,26,0.6657635,0.7993493,0.7602204,0.961536
82790,20160130x10059,5.205419,0.121088,0.587863,0.7068943,0.7319417,0.6330048,0.7752639,0.989976,14449,10,0.6903331,0.8168013,0.7846651,0.9919446
83454,20160520x10161,5.095319,0.0915121,0.753517,0.9242644,0.7723701,0.6846289,0.8127949,0.9870454,22590,23,0.7179349,0.8358115,0.8059408,0.990493
83835,20180429x10777,0.9278393,0.123656,0.750025,0.0886983,0.6435812,0.5404991,0.7017195,0.9841331,11538,60,0.5471154,0.7072716,0.6610235,0.9864148
83999,20160319x10099,5.14267,0.10395,0.682074,0.5921657,0.739252,0.6673989,0.800527,0.9592287,25708,52,0.7005381,0.8239017,0.7885615,0.9629344
84688,20170130x10471,0.9663189,0.441663,1.04941,0.3174899,0.5223325,0.4065468,0.5780779,0.9838199,20041,112,0.4253902,0.5968754,0.5360528,0.9884885
84761,20160808x10278,0.9706285,0.0861547,0.252453,0.1739228,0.6242064,0.5273727,0.6905619,0.9777525,23354,86,0.5596872,0.7176916,0.6716142,0.9814167
85173,20160215x10069,5.879287,0.103183,0.576978,0.4950978,0.717397,0.6415662,0.7816513,0.9601815,36095,67,0.6599788,0.7951654,0.755506,0.961972
85853,20160322x10103,4.224586,0.0901742,0.470249,0.8391378,0.7592171,0.6599515,0.7951456,0.9910745,14129,35,0.6931138,0.8187445,0.7872183,0.9942043
86444,20160220x10076,4.792722,0.0927887,0.404291,0.6227218,0.752349,0.655039,0.7915693,0.9908969,12295,13,0.6868873,0.8143843,0.781965,0.9920881
86924,20160119x10035,5.162266,0.143352,2.45467,0.9439378,0.6947843,0.5868481,0.7396399,0.974296,21231,6,0.6163555,0.7626485,0.7203393,0.9723776
87135,20151121x9969,4.680316,0.0670491,0.69725,0.8978649,0.7235577,0.6444555,0.783792,0.972324,11973,22,0.6628559,0.79725,0.7593107,0.9714312
87563,20160910x10329,0.9118148,0.0958668,0.43071,0.1523281,0.6697754,0.5711838,0.7270744,0.9850267,10888,26,0.5776723,0.7323096,0.6898021,0.9902059
87601,20170817x10595,0.8674766,0.056721,0.117979,0.1972272,0.7019689,0.5851943,0.738325,0.9990942,9059,28,0.593851,0.7451775,0.7061579,0.999899
88209,20160130x10057,4.191988,0.134835,1.09156,0.1233633,0.7100458,0.5911439,0.7430426,0.9981237,9341,9,0.620479,0.7657971,0.7288306,0.9987505
88402,20180118x10679,0.9627364,0.10478,0.302649,0.1181672,0.5595144,0.4394485,0.610579,0.9977413,8850,36,0.4655832,0.6353555,0.5831339,0.9989472
88773,20180405x10758,0.979679,0.213598,1.07109,0.1044422,0.6166024,0.5143112,0.6792675,0.9882606,0.5277629,0.6908964,0.6438039,0.9913065
89377,20171023x10624,0.9145132,0.0686237,0.262746,0.3891529,0.6974366,0.5954639,0.7464461,0.9908706,8442,18,0.6198816,0.7653419,0.7275359,0.9947467
90060,20160609x10180,5.970226,0.0774165,0.47259,0.7876155,0.700434,0.6153276,0.761861,0.9763734,28830,72,0.629296,0.7724759,0.732923,0.9809009
90077,20171107x10627,0.9399769,0.116771,0.461204,0.1925292,0.6098508,0.5330856,0.6954414,0.9355317,10890,60,0.5410496,0.7021832,0.6452911,0.9368859
90262,20160426x10131,5.001525,0.101164,1.33169,0.9310846,0.7261356,0.6181889,0.7640504,0.9921294,13870,10,0.6481884,0.7865465,0.7513124,0.9953741
90281,20160511x10147,5.945089,0.104738,1.12145,0.8211612,0.7892522,0.7071889,0.8284835,0.9763825,22855,21,0.7413797,0.8514854,0.82238,0.9796301
91962,20170503x10569,0.9846507,0.111491,0.240168,0.2094972,0.5683411,0.4637367,0.633634,0.9962072,0.4635936,0.6335005,0.5808219,0.9981762
92193,20171127x10642,0.8529999,0.0475303,0.0955128,0.1630623,0.6408086,0.5763946,0.7312822,0.9640036,10277,20,0.5855041,0.7385715,0.6913863,0.9625675
92211,20170103x10435,0.8395134,0.0606973,0.149338,0.405158,0.7002075,0.5974457,0.7480013,0.9944555,4481,7,0.6081453,0.7563313,0.71787,0.9965917
92554,20160504x10133,4.572359,0.0723117,0.781972,0.9131181,0.7722281,0.6911547,0.8173761,0.9822647,12054,32,0.7286177,0.8430062,0.8129543,0.981975
92927,20161207x10417,0.9215043,0.0569563,0.110849,0.1439975,0.6534729,0.557365,0.7157795,0.9800818,17215,66,0.567082,0.7237426,0.6796785,0.987542
93051,20160514x10149,3.868339,0.109666,0.681299,0.4656041,0.7317319,0.6424381,0.7822981,0.9677021,14745,19,0.6734788,0.8048848,0.7678322,0.9703943
93169,20160408x10113,4.135845,0.0889868,0.76276,0.8792759,0.7290677,0.6198596,0.7653251,0.997705,8426,5,0.5839979,0.7373721,0.6972427,0.9987292
93278,20160514x10148,5.463895,0.0500258,0.486068,0.9295926,0.7599856,0.6725683,0.8042342,0.9867023,18875,17,0.7227656,0.839076,0.8097016,0.9908705
93406,20160507x10138,4.626732,0.155537,1.5727,0.914142,0.6429671,0.5409957,0.7021378,0.9826026,13059,19,0.5729566,0.7285091,0.6836302,0.9809222
93787,20160524x10163,3.977476,0.0799953,0.688816,0.9210358,0.7631837,0.680315,0.809747,0.9829219,9610,20,0.7194171,0.8368151,0.8066968,0.9878291
94848,20160416x10121,5.127324,0.092469,0.882937,0.9040743,0.7277106,0.6135789,0.7605192,0.9985588,11620,10,0.6560638,0.792317,0.7585728,0.9998352
95015,20161103x10380,0.9063903,0.17906,0.964822,0.1724596,0.6624174,0.5638622,0.721115,0.9862619,15413,44,0.5703739,0.7264179,0.6827472,0.9879248
95057,20180429x10778,0.9456689,0.142722,0.430539,0.232516,0.5836502,0.4643216,0.6341798,0.9823938,15717,74,0.4912744,0.6588652,0.6059667,0.983719
96659,20161012x10362,0.8753949,0.0770889,0.182831,0.1192862,0.6780174,0.5949178,0.7460168,0.9789654,5296,4,0.5890849,0.741414,0.6979012,0.9799811
97092,20160809x10279,0.8814952,0.0731118,0.183862,0.1460507,0.7122818,0.6013824,0.7510791,0.996027,8559,9,0.6206592,0.7659343,0.7287644,0.9976445
97994,20170613x10584,0.8094932,0.0859665,0.174607,0.1950996,0.3666003,0.3367436,0.5038267,0.9739453,868,0,0.327046,0.4928933,0.4040048,0.9761421
98314,20160416x10120,4.732618,0.0855399,0.876771,0.941915,0.7105529,0.5867901,0.7395938,0.9999862,9158,31,0.629879,0.772915,0.7369888,0.9999787
98394,20160105x10025,4.121964,0.280164,2.04628,0.3175332,0.7236392,0.6180388,0.7639357,0.9938764,13359,8,0.6669528,0.800206,0.7666371,0.995624
98871,20180310x10717,0.967325,0.152389,1.36401,0.1158233,0.6955457,0.6035355,0.752756,0.9831469,21828,67,0.6193528,0.7649387,0.7254019,0.9859681
99604,20171112x10633,0.8158438,0.12978,0.313231,0.05572049,0.3678368,0.3312306,0.4976307,0.9710767,781,0,0.3246222,0.4901355,0.4000723,0.9753286
99949,20160908x10326,0.9294275,0.157633,0.542775,0.2242533,0.7045339,0.5930074,0.7445131,0.9946641,11598,156,0.5841612,0.7375022,0.6968259,0.9960919
